what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1526569351153
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1526569351153
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1526569351153
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1526569351153
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1526569351153
started,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1526569351153
started,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1526569351153
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1526569351153
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1526569351153
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1526569351153
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1526569351153
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1526569351153
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1526569351153
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1526569351153
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1526569351153
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1526569351153
started,bundle,com.altera.sbtgui.integration,13.13.0.132,"com.altera.sbtgui.integration",1526569351153
started,bundle,com.altera.sbtgui.project,13.13.0.132,"com.altera.sbtgui.project",1526569351153
started,bundle,com.altera.systemconsole,13.13.0.132,"com.altera.systemconsole",1526569351153
started,bundle,com.altera.systemconsole.designs.plugin,13.13.0.132,"com.altera.systemconsole.designs.plugin",1526569351153
started,bundle,com.altera.utilities,13.13.0.132,"com.altera.utilities",1526569351153
os,sysinfo,,,"win32",1526569351153
arch,sysinfo,,,"x86",1526569351153
ws,sysinfo,,,"win32",1526569351153
locale,sysinfo,,,"pt_BR",1526569351153
processors,sysinfo,,,"4",1526569351153
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1526569351153
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1526569351153
java.specification.name,sysinfo,,,"Java Platform API Specification",1526569351153
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1526569351153
