what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1530275818250
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1530275818250
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1530275818250
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1530275818250
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1530275818250
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1530275818250
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1530275818250
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1530275818250
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1530275818250
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1530275818250
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1530275818250
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1530275818250
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1530275818250
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1530275818250
started,bundle,com.altera.sbtgui.core,13.13.0.132,"com.altera.sbtgui.core",1530275818250
started,bundle,com.altera.sbtgui.integration,13.13.0.132,"com.altera.sbtgui.integration",1530275818250
started,bundle,com.altera.sbtgui.project,13.13.0.132,"com.altera.sbtgui.project",1530275818250
started,bundle,com.altera.systemconsole,13.13.0.132,"com.altera.systemconsole",1530275818250
started,bundle,com.altera.systemconsole.designs.plugin,13.13.0.132,"com.altera.systemconsole.designs.plugin",1530275818250
started,bundle,com.altera.utilities,13.13.0.132,"com.altera.utilities",1530275818250
os,sysinfo,,,"win32",1530275818250
arch,sysinfo,,,"x86",1530275818250
ws,sysinfo,,,"win32",1530275818250
locale,sysinfo,,,"pt_BR",1530275818250
processors,sysinfo,,,"4",1530275818250
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1530275818250
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1530275818250
java.specification.name,sysinfo,,,"Java Platform API Specification",1530275818250
